,smiles,per_inh
47,COCCN1CCC(N(Cc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3ccccc32)CC1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0
48,CC(C)(C)N1CCC(N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3ccccc32)CC1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0
49,CC(C)(C)N1CCC(N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3cccnc32)CC1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0
50,CC(C)N1CCC(N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3cn(C)nc32)CC1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0
51,CC(C)N1CCC(N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)nc(=O)c3cccnc32)CC1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0
52,CCn1c(-c2nonc2N)nc2c(-c3cccc(NC(=O)NC45CC6CC(CC(C6)C4)C5)c3)ncc(OCCCN)c21.O=C(O)C(F)(F)F,1.0
53,Cc1noc(C)c1-c1ccc2c(Nc3nccc4ccccc34)c(C(N)=O)cnc2c1,1.0
54,Cc1nnc2c(NC(=O)NC3CCCC3)cc3cc(-c4ccc(CN(C)C)cc4)ccc3n12,1.0
55,O=C(Cn1c(CCc2cccc(F)c2F)nc(=O)c2cccnc21)N(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C1CCN(C2CCOCC2)CC1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0
56,CC1(CCc2ccccc2)N=C(N)N(Cc2ccccc2)C(=O)C1c1ccc(Cl)c(Cl)c1.O=C(O)C(F)(F)F,1.0
57,CN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(CCc2cccc(F)c2F)nc(=O)c2ccc(N3CCN(CCN4CCCCC4)CC3)nc21.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0
58,CC(C)CCCC(C)(C)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(CCC2CC2)c1,1.0
59,Cc1nnc2c(NC(=O)NC3CCCC3)cc3cc(-c4ccc(CN5CCCCC5)cc4)ccc3n12,1.0
60,Cc1nnc2c(NC(=O)NC3CCCC3)cc3cc(-c4ccc(CN5CCN(C)CC5)cc4)ccc3n12,1.0
61,COc1ccc(CNC(=O)Nc2cc3cc(-c4ccc(CN5CCCC5)cc4)ccc3n3c(C)nnc23)cc1,1.0
62,Cc1cc(OCCN2CCCCC2)ccc1NC(=O)c1cccc2c(=O)n(Cc3ccc(Cl)cc3)cnc12,1.0
63,Cc1cccc2nc(-c3ccc(-c4cccc(NC(=O)c5cnn6cccnc56)c4)cc3)[nH]c12,1.0
64,CC(=O)Nc1nc(C(=O)Nc2cccc(-c3ccc(-c4nc5cccc(C)c5[nH]4)cc3)c2)cs1,1.0
65,CC(=O)Nc1nc(C(=O)Nc2ccc(-c3cccc(-c4nc5cccc(C)c5[nH]4)c3)cc2)cs1,1.0
66,CCCN(CCC)CCOc1ccc(C(O)(C#CC(O)(c2ccc(OCCN(CCC)CCC)cc2)c2cccc(Cl)c2)c2cccc(Cl)c2)cc1,1.0
67,CC(C)NCc1ccc(OCc2cccc(COc3ccc(CNC(C)C)cc3I)c2)c(I)c1.Cl,1.0
68,CCCCOc1ccc(CNCCCCCCNCc2ccc(OCCCC)c3ccccc23)c2ccccc12.CS(=O)(=O)O,1.0
69,CS(=O)(=O)O.FC(F)(F)COc1ccc(CCNCCCCNCCc2ccc(OCC(F)(F)F)c3ccccc23)c2ccccc12,1.0
70,COc1cc2c(cc1CCNCCCCNCCc1cc3c(cc1OC)CCCC3)CCCC2.CS(=O)(=O)O,1.0
71,COc1c(OC)c(OC)c2ccccc2c1CCNCCCCNCCc1c(OC)c(OC)c(OC)c2ccccc12.CS(=O)(=O)O,1.0
72,Br.C=CCNC(CCCCC)c1ccc(OCCOc2ccc(C(CCCCC)NCC=C)cc2)cc1,1.0
73,Clc1ccc(N=C(NCCCCCCCNC(=Nc2ccc(Cl)cc2)Nc2ccc(Cl)cc2)Nc2ccc(Cl)cc2)cc1,1.0
74,CC1(C)Cc2c([nH]c3ccccc23)C(CCCCCCCCC2=NC(C)(C)Cc3c2[nH]c2ccccc32)=N1.Cl,1.0
75,Br.CCCCC(NCC)c1ccc(OCCOc2ccc(C(CCCC)NCC)cc2)cc1,1.0
76,CCCCCCC(N)c1ccc(OCCCOc2ccc(C(N)CCCCCC)cc2)cc1.Cl,1.0
77,COc1ccc(CNCCCCCCNCc2ccc(OC)c3ccccc23)c2ccccc12.Cl,1.0
78,COc1ccc2nc(-c3ccccc3)cc(NCCCNc3cc(-c4ccccc4)nc4ccc(OC)cc34)c2c1.Cl,1.0
79,CCOc1c(CCNCCCCNCCc2ccc3ccccc3c2OCC)ccc2ccccc12.CS(=O)(=O)O,1.0
80,CCOc1ccc2ccccc2c1CNCCCCCCNCc1c(OCC)ccc2ccccc12.CS(=O)(=O)O,1.0
81,COc1cc2ccccc2c(CNCCCCCCNCc2c(OC)c(OC)cc3ccccc23)c1OC.CS(=O)(=O)O,1.0
82,COc1ccc2ccc(OC)c(CNCCCCCCNCc3c(OC)ccc4ccc(OC)cc34)c2c1.CS(=O)(=O)O,1.0
83,COc1ccc2cc(CNCCCCCCNCc3ccc4cc(OC)ccc4c3)ccc2c1.CS(=O)(=O)O,1.0
84,Nc1nc(N)c2c(ccc3c2ccn3Cc2ccc(-c3ccccc3)cc2)n1,1.0
85,C#CCCOc1ccc2ccccc2c1CNCCCCCCNCc1c(OCCC#C)ccc2ccccc12,1.0
86,CS(=O)(=O)O.FC(F)(F)COc1c(CNCCCCCCNCc2ccc3ccccc3c2OCC(F)(F)F)ccc2ccccc12,1.0
87,CN(C)c1c(CNCCCCCCNCc2ccc3ccccc3c2N(C)C)ccc2ccccc12.CS(=O)(=O)O,1.0
88,COc1c(CNCCCCCCNCc2c(OC)c(OC)c3ccccc3c2OC)c(OC)c2ccccc2c1OC.CS(=O)(=O)O,1.0
89,C#CCOc1ccc2ccccc2c1CNCCCCCCNCc1c(OCC#C)ccc2ccccc12.CS(=O)(=O)O,1.0
90,CS(=O)(=O)O.c1ccc2c(CNCCCCCCNCc3c(OCC4CC4)ccc4ccccc34)c(OCC3CC3)ccc2c1,1.0
91,COc1cc2ccccc2c(OC)c1CCNCCCCNCCc1c(OC)cc2ccccc2c1OC.CS(=O)(=O)O,1.0
92,COc1cc2ccccc2c(OC)c1CNCCCCCCNCc1c(OC)cc2ccccc2c1OC.CS(=O)(=O)O,1.0
93,C/C=C/COc1ccc2ccccc2c1CNCCCCCCCCNCc1c(OC/C=C/C)ccc2ccccc12.CS(=O)(=O)O.O,1.0
94,CCCCOc1cc(OC)c2ccccc2c1CCNCCCCNCCc1c(OCCCC)cc(OC)c2ccccc12.CS(=O)(=O)O,1.0
95,CN(CCCNCc1ccc2ccccc2c1)CCCNCc1ccc2ccccc2c1.Cl,1.0
96,CCOc1cc(CNCCCCCCNCc2cc(OCC)c(OCC)c3ccccc23)c2ccccc2c1OCC.CS(=O)(=O)O,1.0
97,CCOc1c(CNCCCCCCNCc2ccc3ccccc3c2OCC)ccc2ccccc12.CS(=O)(=O)O,1.0
98,COc1cc2ccccc2cc1CCNCCCCNCCc1cc2ccccc2cc1OC.CS(=O)(=O)O,1.0
99,CCCOc1c(CCNCCCCNCCc2ccc3ccccc3c2OCCC)ccc2ccccc12.CS(=O)(=O)O,1.0
100,CCCOc1ccc(CCNCCCCNCCc2ccc(OCCC)c3ccccc23)c2ccccc12.CS(=O)(=O)O,1.0
101,COc1ccc2c(OC)c(CNCCCCCCNCc3ccc4cc(OC)ccc4c3OC)ccc2c1.CS(=O)(=O)O,1.0
102,COc1ccc2c(OC)ccc(CNCCCCCCNCc3ccc(OC)c4ccc(OC)cc34)c2c1.CS(=O)(=O)O,1.0
103,COc1c(CNCCCCCCNCc2cc(Cl)c3ccccc3c2OC)cc(Cl)c2ccccc12.CS(=O)(=O)O,1.0
104,COc1ccc(CCNCCCCNCCc2ccc(OC)c3ccccc23)c2ccccc12.CS(=O)(=O)O,1.0
105,CCCOc1ccc2ccccc2c1CNCCCCCCNCc1c(OCCC)ccc2ccccc12.CS(=O)(=O)O,1.0
106,CC(C)(C)c1ccc(-c2cc3c(ccc4nc(N)nc(N)c43)[nH]2)cc1,1.0
107,COc1cc(CNCCCCCCNCc2cc(OC)c(OC)c3ccccc23)c2ccccc2c1OC.CS(=O)(=O)O,1.0
108,CCCCCCCCN1CCN(CCCCCCNc2c3ccccc3nc3ccccc23)CC1.Cl,1.0
109,Cc1ccc(C(=O)Nc2ccc(Nc3ccnc4cc(-c5ccccn5)ccc34)cc2O)cc1.Cl,1.0
110,Cc1ccc(C(=O)Nc2ccc(Nc3ccnc4cc(-c5nccs5)ccc34)cc2O)cc1.Cl,1.0
111,COc1cc(Nc2ccnc3cc(-c4nccs4)ccc23)ccc1OCCCc1nc2ccccc2[nH]1.Cl,1.0
112,COc1cc(C(C)C)ccc1C1CCN(CCCCNC(=O)c2ccc(NC(=O)c3ccc(Cl)cc3)cc2)CC1.O=C(O)/C=C/C(=O)O,1.0
113,C=CC(C)C1OC(=O)c2cc(OC)cc(OC)c21,1.0
114,C=CCC1OC(=O)c2cc(OC)cc(OC)c21,1.0
115,Cl.O=C(NCCCCN1CCC(c2ccc3c(c2OCCO)CCCC3)CC1)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,1.0
116,CC(=O)COc1c(C2CCN(CCCCNC(=O)c3ccc(-c4ccc(C(F)(F)F)cc4)cc3)CC2)ccc2c1CCCC2,1.0
117,CCOC(=O)c1cc(C(=O)NCCCCN2CCC(c3ccc4c(c3OC)CCCC4)CC2)ccc1-c1ccc(C(F)(F)F)cc1,1.0
118,O=C(NCCCCN1CCC(c2ccc3c(c2OCC(O)c2ccc(Cl)cc2)CCCC3)CC1)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,1.0
119,O=C(NC1CCN(CCN2CCC(c3c[nH]c4ccccc34)CC2)CC1)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,1.0
120,CC(C)Cn1cc(C2CCN(CCN3CCC(CNC(=O)c4ccc(-c5ccc(C(F)(F)F)cc5)cc4)CC3)CC2)c2ccccc21,1.0
121,O=C(NCC1CCN(CCN2CCC(c3cn(CCO)c4ccccc34)CC2)CC1)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,1.0
122,Cl.Clc1ccc(OCCC2CCN(CCCCCCCN3CCC(CCOc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1Cl,1.0
123,Cl.Nc1c2c(nc3ccc(NC(=O)CCCCCCc4ccccc4)cc13)CCCC2,1.0
124,Cc1nc(-c2ccc(-c3ccc(C(=O)Nc4ccc(I)c(OCC5CCCN5C)c4)cc3)c(C)c2)no1.Cl,1.0
